,Territorio,NC_   -  0,NC_  0- 10,NC_ 10- 15,NC_ 15- 26,NC_ 26- 55,NC_ 55- 75,NC_ 75-120,NC_120-inf,Income_tot
5201,Poggiofiorito,0.0,226.0,126.0,137.0,85.0,5.0,5.0,0.0,8995732.0
5202,Poggiomarino,0.0,5438.0,1918.0,2527.0,1379.0,87.0,53.0,14.0,159452739.0
5203,Poggioreale,0.0,457.0,159.0,164.0,118.0,0.0,0.0,0.0,11449242.0
5204,Poggiorsini,0.0,413.0,144.0,218.0,105.0,0.0,4.0,0.0,11781090.0
5205,Poggiridenti,0.0,324.0,160.0,468.0,333.0,26.0,39.0,10.0,31600896.0
5206,Pogliano Milanese,0.0,1257.0,638.0,2084.0,1836.0,169.0,100.0,58.0,151315582.0
5207,Pognana Lario,0.0,144.0,48.0,150.0,128.0,13.0,9.0,4.0,11059041.0
5208,Pognano,0.0,245.0,149.0,425.0,249.0,15.0,7.0,0.0,21459589.0
5209,Pogno,0.0,194.0,138.0,477.0,216.0,12.0,9.0,6.0,21947790.0
5210,Poirino,0.0,1671.0,938.0,2660.0,1757.0,146.0,97.0,29.0,156787738.0
5211,Pojana Maggiore,0.0,729.0,458.0,1230.0,641.0,49.0,27.0,14.0,63904895.0
5212,Polaveno,0.0,365.0,211.0,702.0,464.0,29.0,15.0,8.0,39807040.0
5213,Polcenigo,0.0,621.0,326.0,810.0,585.0,55.0,37.0,21.0,53829045.0
5214,Polesella,0.0,718.0,399.0,1059.0,600.0,24.0,20.0,16.0,57564464.0
5215,Polesine Zibello,0.0,492.0,306.0,946.0,517.0,42.0,30.0,13.0,50947054.0
5216,Poli,0.0,484.0,229.0,395.0,246.0,8.0,5.0,0.0,22331023.0
5217,Polia,0.0,292.0,109.0,156.0,64.0,4.0,0.0,0.0,8155920.0
5218,Policoro,4.0,4897.0,1978.0,2555.0,1762.0,154.0,121.0,45.0,189387770.0
5219,Polignano a Mare,0.0,4772.0,2233.0,3237.0,1815.0,131.0,88.0,33.0,197833006.0
